curTime_of_UTC8,num_send_packets_avg,num_send_packets_std,avg_send_packetLen_avg,avg_send_packetLen_std,send_dataStream_avg,send_dataStream_std,avg_send_packetInterval_avg,avg_send_packetInterval_std,num_recv_packets_avg,num_recv_packets_std,avg_recv_packetLen_avg,avg_recv_packetLen_std,recv_dataStream_avg,recv_dataStream_std,avg_recv_packetInterval_avg,avg_recv_packetInterval_std,mn_u_r_mean_avg,mn_u_r_mean_std,mn_d_r_mean_avg,mn_d_r_mean_std,mn_u_m_mean_avg,mn_u_m_mean_std,mn_d_m_mean_avg,mn_d_m_mean_std,mn_d_g_mean_avg,mn_d_g_mean_std,mn_u_g_mean_avg,mn_u_g_mean_std,mn_u_b_mean_avg,mn_u_b_mean_std,mn_d_b_mean_avg,mn_d_b_mean_std,mn_cqi_mean_avg,mn_cqi_mean_std,mn_mac_mean_avg,mn_mac_mean_std,mn_bandwidth_mean_avg,mn_bandwidth_mean_std,rsrp_1_mean_avg,rsrp_1_mean_std,snr_1_mean_avg,snr_1_mean_std,label
2025-10-21 20:16:38,188.0,0.0,623.3191489361702,0.0,117184.0,0.0,0.0033954686306892,0.0,50.0,0.0,318.48,0.0,15924.0,0.0,0.0124731016159057,0.0,32.8,0.0,16.2,0.0,15.2,0.0,17.0,0.0,118.2,0.0,287.2,0.0,0.112,0.0,0.096,0.0,4.16,0.0,6661.8,0.0,100.0,0.0,-82.66666666666667,0.0,0.1699999999999999,0.0,0
2025-10-21 20:16:39,241.0,53.0,648.2173975973368,24.898248661166576,157540.0,40356.0,0.00339621043201805,7.418013288499128e-07,66.0,16.0,308.8741463414634,9.605853658536603,20232.0,4308.0,0.0120387082565121,0.0004343933593935999,31.9,0.8999999999999986,16.5,0.3000000000000007,16.2,1.0,17.3,0.3000000000000007,120.6,2.3999999999999986,267.0,20.19999999999999,0.108,0.0040000000000000036,0.094,0.0020000000000000018,3.95,0.20999999999999996,5885.9,775.9000000000001,100.0,0.0,-83.5,0.8333333333333286,1.2016666666666664,1.0316666666666665,0
2025-10-21 20:16:40,230.66666666666666,45.67518168789504,660.7385825252087,26.96000744791168,153031.33333333334,33561.79337017351,0.0038497926242537332,0.0006414623738558619,54.333333333333336,21.044925490219462,392.1203986362445,117.9889486008138,19260.333333333332,3776.3538264074546,0.018669956822799202,0.009384706361392433,31.266666666666666,1.1585431464655167,16.266666666666666,0.41096093353126517,16.666666666666668,1.0498677165349086,17.133333333333336,0.3399346342395194,117.26666666666665,5.105117258420442,277.2,21.91133648745933,0.106,0.0043204937989385775,0.09000000000000001,0.005887840577551897,3.8866666666666667,0.19344824171395894,5646.733333333333,718.1563865590529,100.0,0.0,-83.44444444444444,0.6849348892187715,1.0377777777777777,0.8736569940256167,0
2025-10-21 20:16:41,236.5,40.82584965435502,649.7635825631978,30.107862323519456,153942.75,29108.203683626718,0.0038714852059791747,0.000556791870549798,63.0,23.61143790623519,372.72793942662156,107.56043146313041,21444.0,5000.08364930028,0.016957942497403625,0.008651445790632262,31.15,1.023474474522935,16.05,0.51720402163943,16.45,0.9836157786453005,16.900000000000002,0.5000000000000007,118.04999999999998,4.624662149822409,283.0,21.470910553583884,0.10350000000000001,0.005722761571129799,0.093,0.007280109889280515,4.02,0.2853068523537422,5921.749999999999,783.3989708315937,100.0,0.0,-83.91666666666666,1.0103629710818423,1.3791666666666664,0.9602585733945714,0
2025-10-21 20:16:42,251.4,47.132154629297396,661.6732454717801,35.95200942002888,167273.4,37264.660672546044,0.00374060370782744,0.0005626132027619375,68.4,23.72003372678884,480.6556848746306,236.3239092499715,33577.8,24676.2452362591,0.0156948851360251,0.008139979545866738,30.4,1.7572706109191036,15.680000000000001,0.8726969691708575,16.759999999999998,1.0762899237658972,16.68,0.6273754856543252,113.19999999999997,10.545141061171256,284.64,19.482258595963657,0.1024,0.005571355310873647,0.0872,0.01330263131865271,3.944,0.2970252514517916,5712.32,816.3423654325434,100.0,0.0,-83.39999999999999,1.3727506854649323,0.7633333333333331,1.5015591896425529,0
2025-10-21 20:16:43,259.0,46.26013402488151,663.672710171489,33.12267772803272,172741.16666666666,36148.233808475656,0.0036795367034357664,0.0005314357048554735,64.83333333333333,23.075359633648663,756.85491470049,654.1948470076125,44728.0,33601.57286993175,0.016803060088435882,0.007833027158450766,30.066666666666666,1.768866554856213,15.533333333333333,0.8615231988880059,16.7,0.9916316520429015,16.5,0.7000000000000004,110.29999999999997,11.606750909133302,280.06666666666666,20.515251778994948,0.09966666666666667,0.007951240294584376,0.08866666666666667,0.012578641509408805,3.953333333333333,0.2719477073916152,5868.400000000001,822.8915764951461,100.0,0.0,-82.55555555555554,2.2662308949301266,1.0844444444444443,1.54740483662003,0
2025-10-21 20:16:44,260.0,42.8985514240949,660.9568450234675,31.3789271107326,172561.0,33469.67105988858,0.0036895577863174855,0.0004926257893980757,62.57142857142857,22.070388325000682,974.5899268861342,807.0213202556453,54305.28571428572,38963.021050053845,0.01728982396410997,0.0073493374604978266,29.314285714285717,2.4654345148348136,15.485714285714286,0.8060991988380508,16.942857142857143,1.0939536982329512,16.428571428571427,0.6712765785411849,108.28571428571426,11.824360879306825,280.37142857142857,19.00809709313483,0.09971428571428571,0.007362342129557216,0.08742857142857142,0.012033965536372964,3.9285714285714284,0.2589775815685637,5695.400000000001,871.7733388247856,100.0,0.0,-82.19047619047618,2.2807485742529607,1.2895238095238093,1.5181373597550059,0
2025-10-21 20:16:45,264.5,41.8568990729127,660.7012596658044,29.36008685985871,175370.625,32178.400663090375,0.003650327601286275,0.00047235389196623406,59.875,21.8428334929331,1186.696064074148,940.6359970565195,61208.25,40766.51560640791,0.018000560004560812,0.007127214463176497,29.075,2.3915214822367785,15.675,0.9051933495115838,16.900000000000002,1.0295630140986998,16.299999999999997,0.7141428428542853,111.4,13.792389205645263,282.45,18.611488387552455,0.0985,0.0075993420767853335,0.08825,0.011464619487798101,3.9675,0.2632370604607185,5791.125,853.8929027547894,100.0,0.0,-82.25,2.139249608832239,1.6716666666666666,1.7432385251466753,0
2025-10-21 20:16:46,266.55555555555554,39.889043639439834,660.5361805588461,27.684892959035906,176613.66666666666,30541.132082633885,0.0036371408002020445,0.00044689867085271554,58.22222222222222,21.117542879889,1391.2137853498598,1058.8226433379466,69544.11111111111,45090.40813359667,0.018475771832509088,0.006852712198630049,28.533333333333335,2.726006440034783,15.800000000000002,0.9237604307034015,17.08888888888889,1.1079956322060367,16.288888888888884,0.6740333728045826,110.3777777777778,13.321142575101161,282.17777777777775,17.563964230952326,0.09733333333333333,0.007888106377466156,0.08577777777777777,0.012873554095964673,3.9511111111111106,0.2524741766528672,5647.6,901.617272830699,100.0,0.0,-82.03703703703704,2.104929220501159,1.6555555555555557,1.6441726502115597,0
2025-10-21 20:16:47,269.0,38.54607632431607,659.1344525373258,26.598713152233262,177766.0,29179.36810487849,0.0036169614290242095,0.0004282656220141033,56.9,20.422781397253413,1535.5590734815405,1093.8532401071918,75345.7,46181.774736469364,0.01896132972429751,0.006662251588316815,27.96,3.1058654188486656,15.960000000000003,0.9991996797437437,17.2,1.1027239001672178,16.4,0.7211102550927979,112.62,14.316270464055924,278.4,20.15162524462977,0.0958,0.008784076502399102,0.08499999999999999,0.012433824833895657,3.9799999999999995,0.2547155275989275,5671.2,858.2744176544004,100.0,0.0,-81.9,2.038790491116403,1.5603333333333333,1.5857423428091266,0
